title,content
What is Choreo?,"Choreo is a powerful SaaS application development suite that streamlines the process of creating digital experiences. With Choreo, you can build, deploy, monitor, and manage your cloud-native applications with ease, enabling you to focus on innovation and reduce time-to-market.
The Choreo suite comprises 5 profiles that work together seamlessly:  
 - **Internal Developer Platform** is a full lifecycle cloud native application development platform to create, deploy, run, and govern APIs, integrations, and microservices on Kubernetes. Gives you the benefit of organization-wide productivity via self-service teams, governance and security, enterprise marketplaces, and business metrics.
 - **API Manager** is an enterprise-grade, API-first development platform to create, deploy, run, and manage APIs and services that integrate perfectly with your development practices across multiple environments. You can deploy to the Choreo cloud or any private cloud within minutes.
 - **iPaaS** is a developer-friendly, serverless platform for writing real integrations as code or low-code. You can create scheduled tasks, reusable APIs, or event-driven integrations, and build, deploy, run, and observe in a seamless serverless, multi-cloud, and multi-environment setup.
 - **Cloud Native App Developer** provides you with the flexibility to design, develop, deploy, and operate your backend APIs, services, integrations, and more with any programming language of your choice.
 - **DevOps** allows you to release and manage applications on Kubernetes without compromising on security, reliability, or governance, across any cloud."
Organizations and data planes,"Data planes are connected to the organization and are available for all the projects in the organization. When you create an environment in a project, the data plane connected to the organization is linked with an automatically generated Kubernetes namespace."
Environments and data planes,"Choreo allows multiple Kubernetes clusters to be associated with an environment.
This allows you to build highly resilient and resource-efficient solutions that utilize multiple clusters. Choreo synchronizes your applications and workloads between associated clusters in an environment. This allows you to perform multi-cluster deployment with a single click."
Components and environments,"Components belong to a project in Choreo and environments are provisioned per project as well. When a component is deployed, it is deployed as a container to the specified environment. Once deployed, you can promote the container image across the environments available in the project."
Organization,An organization in Choreo is a logical grouping of users and user resources. A first-time user must create an organization and be a member of it when signing in to Choreo. Users and resources in an organization cannot access resources in another organization unless an admin of the other organization invites them and adds them as a member of that organization. A user cannot create more than one organization.
Project,"A project in Choreo is a logical group of related components that typically represent a single cloud native application. A project consists of one or more components. All components within a project can ideally be (but is not restricted to) in a single GitHub repository under different paths. This is also known as the monorepo architecture.
At deployment time, all components within a given project are deployed into a single namespace of the Kubernetes cluster. Components within a project can be exposed to the public internet, internally to the rest of the organization, or privately within the project only. A project in Choreo is represented as a cell with regard to the Cell-based architecture"
Component,"A component within a project represents a single unit of work in a cloud native application. A component is usually a single microservice, API, or job/task. Each component in Choreo is attached to a given directory path in a Git repository which either contains program source code or a Dockerfile with build instructions. A component is Choreo’s unit of deployment. Each component maps to a single pod in the Kubernetes cluster (data plane) at deployment time. Therefore, you can deploy, manage, and scale each component in Choreo independently.
Choreo supports different component types for various use cases. These include component types such as services, API proxies, integrations, web applications, and so on. Each component type hosts unique features based on its characteristics. For example, a scheduled integration component can accept a cron expression as a configuration to schedule an integration job/task."
Endpoint,"An Endpoint is a network-exposed function that resides within a component. In Choreo, service components expose one or more endpoints. Each endpoint in a component can have a service contract (OpenAPI, GraphQL SDL) associated with it. This contract is used to expose the endpoint to consumers. In the absence of a contract, Choreo uses /* exposed on all HTTP verbs as the default contract to expose the service.
Each endpoint exposed in a component is considered a single API. Therefore, Choreo allows you to do API management per endpoint for a given component. For example, you can perform lifecycle management and configure security settings per endpoint in a given component."
Data Planes,"At its heart, the Choreo control plane is a configuration manager and an orchestrator. It consists of many components that help developers to define and create Choreo applications. APIs manage communication between consumers and the Choreo control plane.
Similarly, the Choreo data plane is a Kubernetes cluster where applications are deployed and run. The data plane has a few system components that facilitate user applications to run with the support of the control plane. While the data plane needs support from the control plane, it can operate independently in a disaster scenario. All communication between the control plane and the data plane is made via APIs."
Environments,"Choreo offers developers one or more environments to run their applications within a given data plane. By default, the Choreo cloud data plane provides two environments (i.e., development and production). Each project in Choreo is associated with one or more environments available in the organization. For example, project A may choose to utilize dev, staging, and production environments, while project B may only use development and production environments.
You can promote components within a project across available environments. When you promote a component, its configuration values can be overridden with environment-specific values."
